,Species,Owner,CountryofOrigin,TopCountriesBags,Farm.Name,Lot.Number,Mill,ICO.Number,Company,Altitude,Region,Producer,NumberofBags,Bag.Weight,InCountryPartner,HarvestYear,GradingDate,Owner,Variety,ProcessingMethod,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,CleanCup,Sweetness,CupperPoints,TotalCupPoints,Moisture,CategoryOneDefects,Quakers,Color,CategoryTwoDefects,Expiration,CertificationBody,CertificationAddress,CertificationContact,unitofmeasurement,altitudelowmeters,altitudehighmeters,altitudemeanmeters
126,Arabica,nucoffee,Brazil,1,santa alina,,,,,1200m to 1350m,vale da grama,Lucia Maria da Silva Dias,75,60 kg,NUCOFFEE,2011,"October 28th, 2011",NUCOFFEE,Yellow Bourbon,,8.17,8,7.5,7.75,7.5,7.67,10,10,10,7.75,84.33,0,0,0,,4,"October 27th, 2012",NUCOFFEE,567f200bcc17a90070cb952647bf88141ad9c80c,aa2ff513ffb9c844462a1fb07c599bce7f3bb53d,m,1200,1350,1275
127,Arabica,nucoffee,Brazil,1,fazenda baipendi,,,002/1251/0360,,900-1200m,south of minas,Ant��nio Pelucio,80,60 kg,NUCOFFEE,2011,"October 28th, 2011",NUCOFFEE,,,8,8,7.5,7.5,7.67,7.75,10,10,10,7.92,84.33,0.02,0,0,,2,"October 27th, 2012",NUCOFFEE,567f200bcc17a90070cb952647bf88141ad9c80c,aa2ff513ffb9c844462a1fb07c599bce7f3bb53d,m,900,1200,1050
128,Arabica,nucoffee,Brazil,1,fazenda do lobo,,,002/1251/0075,nucoffee,1000m,south of minas,Andrea Galvǜo Noqueira,25,60 kg,NUCOFFEE,2011,"December 3rd, 2011",NUCOFFEE,Mundo Novo,Semi-washed / Semi-pulped,7.75,7.5,7.58,7.5,7.75,7.5,10,10,10,7.58,83.17,0.12,0,0,Blue-Green,3,"December 2nd, 2012",NUCOFFEE,567f200bcc17a90070cb952647bf88141ad9c80c,aa2ff513ffb9c844462a1fb07c599bce7f3bb53d,m,1000,1000,1000
129,Arabica,nucoffee,Brazil,1,olhos d'agua,,,,,900m,south of minas,Mario Dornelles Alvarenga,90,60 kg,NUCOFFEE,2011,"October 28th, 2011",NUCOFFEE,,,7.58,7.75,7.67,7.5,7.67,7.58,10,10,10,7.42,83.17,0.02,0,0,,2,"October 27th, 2012",NUCOFFEE,567f200bcc17a90070cb952647bf88141ad9c80c,aa2ff513ffb9c844462a1fb07c599bce7f3bb53d,m,900,900,900
130,Arabica,nucoffee,Brazil,1,fazenda chamusca,,,002/1251/0359,,900-1050m,south of minas,Mario Garcia Reis Neto,42,60 kg,NUCOFFEE,2011,"October 28th, 2011",NUCOFFEE,Mundo Novo,,7.58,7.5,7.33,7.75,7.5,7.5,10,10,10,7.42,82.58,0,0,0,,4,"October 27th, 2012",NUCOFFEE,567f200bcc17a90070cb952647bf88141ad9c80c,aa2ff513ffb9c844462a1fb07c599bce7f3bb53d,m,900,1050,975
131,Arabica,nucoffee,Brazil,1,cianorte,,,002/1251/0361,,900-950m,cerrado,Marilsa de Fatima Peternela,58,60 kg,NUCOFFEE,2011,"October 28th, 2011",NUCOFFEE,Mundo Novo,,7.33,7.67,7.25,7.5,7.5,7.25,10,10,10,7.33,81.83,0.02,0,0,,2,"October 27th, 2012",NUCOFFEE,567f200bcc17a90070cb952647bf88141ad9c80c,aa2ff513ffb9c844462a1fb07c599bce7f3bb53d,m,900,950,925
132,Arabica,jacques pereira carneiro,Brazil,1,pereira estate coffee,,cocarive,002/1352/0045,,1.2,sul de minas - carmo de minas,Maria Rogeria Costa Pereira,300,60 kg,Specialty Coffee Association,2010,"January 4th, 2011",Jacques Pereira Carneiro,Yellow Bourbon,,8.17,7.92,7.92,7.75,8.33,8,10,10,10,8.08,86.17,0.08,0,0,,2,"January 4th, 2012",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,12,12,12
133,Arabica,jacques pereira carneiro,Brazil,1,pereira estate coffee,,cocarive,002/1352/0045,,1.2,sul de minas - carmo de minas,Maria Rogeria Costa Pereira,300,60 kg,Specialty Coffee Association,2010,"January 4th, 2011",Jacques Pereira Carneiro,Yellow Bourbon,,8.42,7.92,8,7.75,7.92,8,10,10,10,8.17,86.17,0.01,0,0,,3,"January 4th, 2012",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,12,12,12
134,Arabica,klem organics,Brazil,1,fazendas klem ltda,KLEM-C04,dry mill,002/1566/0003,klem organics coffee,1100,brazil matas de minas,NAGIPE VIANA KLEM,1062,5 kg,Specialty Coffee Association,,"November 15th, 2017",KlemOrganics,Catuai,Washed / Wet,7.58,7.5,7.25,7.42,7.67,7.33,10,10,10,7.5,82.25,0.09,2,6,Green,10,"November 15th, 2018",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1100,1100,1100
135,Arabica,klem organics,Brazil,1,fazendas klem ltda,KLEM-C08        ,dry mill,002/1566/0003        ,klem organics coffee,1100,matas de minas        ,NAGIPE VIANA KLEM       ,42,5 kg,Specialty Coffee Association,,"November 15th, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Arabica,bourbon specialty coffees,Brazil,1,cachoeira da grama farm,43104350 - K25247,dry mill,002/4542/0044,bourbon specialty coffees,,grama valley,GABRIEL CARVALHO DIAS,300,59 kg,Brazil Specialty Coffee Association,,"January 16th, 2018",BOURBON SPECIALTY COFFEES,Bourbon,Pulped natural / honey,7.25,7.25,7.17,7.5,7.33,7.17,10,10,10,7.33,81,0.11,0,6,Green,9,"January 16th, 2019",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,NA,NA,NA
137,Arabica,simon mahinda,Burundi,Burundi,,601,sogestal mumirwa,027/01/601,sangana commodities k limited,1700,mumirwa,SOGESTAL MUMIRWA,300,60 kg,Kenya Coffee Traders Association,2016,"January 22nd, 2016",SIMON MAHINDA,,,7.08,7.25,7.17,7.33,7.08,7.08,10,10,10,7.33,80.33,0.12,0,0,Green,0,"January 21st, 2017",Kenya Coffee Traders Association,ccba45b89d859740b749878be8c6d16fbdb96c2e,d752c909a015f3c76224b3c5cc520f8a67afda74,m,1700,1700,1700
138,Arabica,steven kil,Burundi,Burundi,sogestal kayanza,,kiriyama washing station,,the specialty coffee appraisers institute of asia,1880,kayanza,,220,60 kg,Specialty Coffee Association,2012,"August 29th, 2012",Steven Kil,Bourbon,Washed / Wet,7.75,7.67,7.33,7.5,7.5,7.75,10,10,10,7.83,83.33,0,0,0,,5,"August 29th, 2013",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1880,1880,1880
139,Arabica,yunnan coffee exchange,China,China,echo coffee,YNC-06114,echo coffee mill,,yunnan coffee exchange,1450,yunnan,Echo Coffee,3,60 kg,Yunnan Coffee Exchange,2015,"April 7th, 2016",Yunnan Coffee Exchange,Catimor,Washed / Wet,8.42,8.25,8.08,8.17,7.92,8,10,10,10,8.42,87.25,0.1,0,0,Green,0,"April 7th, 2017",Yunnan Coffee Exchange,683fa6014608fc10ff681b0435b0b2dbe6df988f,f6d87a6c04653c569d4911a66f89d5e30ce83b93,m,1450,1450,1450
140,Arabica,yunnan coffee exchange,China,China,pu'er city longke coffee co.ltd,YNC-16115,pu'er city longke coffee co.ltd,,yunnan coffee exchange,1700,yunnan,Pu'er City Longke Coffee Co.Ltd,3,60 kg,Yunnan Coffee Exchange,2015,"April 6th, 2016",Yunnan Coffee Exchange,Catimor,Natural / Dry,8,8,8,7.83,7.83,7.75,10,10,10,7.92,85.33,0.1,0,0,Green,0,"April 6th, 2017",Yunnan Coffee Exchange,683fa6014608fc10ff681b0435b0b2dbe6df988f,f6d87a6c04653c569d4911a66f89d5e30ce83b93,m,1700,1700,1700
141,Arabica,yunnan coffee exchange,China,China,menglian ban�??an coffee processing factory,YNC-16018,menglian ban�??an coffee processing factory,,yunnan coffee exchange,1680,yunnan,Menglian Ban�??an Coffee Processing Factory,3,60 kg,Yunnan Coffee Exchange,2015,"April 6th, 2016",Yunnan Coffee Exchange,Catimor,Washed / Wet,7.75,7.92,7.67,7.83,7.75,7.67,10,10,10,7.92,84.5,0.1,0,0,Green,1,"April 6th, 2017",Yunnan Coffee Exchange,683fa6014608fc10ff681b0435b0b2dbe6df988f,f6d87a6c04653c569d4911a66f89d5e30ce83b93,m,1680,1680,1680
142,Arabica,yunnan coffee exchange,China,China,menglian county nayun town mangzhang coffee farm,YNC-16017,menglian county nayun town mangzhang coffee farm,,yunnan coffee exchange,1400,yunnan,Menglian County Nayun Town Mangzhang Coffee Farm,3,60 kg,Yunnan Coffee Exchange,2015,"April 6th, 2016",Yunnan Coffee Exchange,Catimor,Natural / Dry,7.83,7.83,7.58,7.75,7.75,7.75,10,10,10,7.75,84.25,0.1,0,0,Green,1,"April 6th, 2017",Yunnan Coffee Exchange,683fa6014608fc10ff681b0435b0b2dbe6df988f,f6d87a6c04653c569d4911a66f89d5e30ce83b93,m,1400,1400,1400
143,Arabica,yunnan coffee exchange,China,China,pu�??er specialty coffee cupping center,YNC-16063,pu�??er specialty coffee cupping center,,yunnan coffee exchange,1650,yunnan,Pu�??er Specialty Coffee Cupping Center,3,60 kg,Yunnan Coffee Exchange,2015,"April 6th, 2016",Yunnan Coffee Exchange,Catimor,Washed / Wet,7.83,7.75,7.67,7.5,7.58,7.67,10,10,10,7.75,83.75,0.1,0,1,Green,2,"April 6th, 2017",Yunnan Coffee Exchange,683fa6014608fc10ff681b0435b0b2dbe6df988f,f6d87a6c04653c569d4911a66f89d5e30ce83b93,m,1650,1650,1650
144,Arabica,yunnan coffee exchange,China,China,menglian mang pan professional cooperative,YNC-16029,menglian mang pan professional cooperative,,yunnan coffee exchange,1100,yunnan,Menglian Mang Pan Professional Cooperative,3,60 kg,Yunnan Coffee Exchange,2015,"April 6th, 2016",Yunnan Coffee Exchange,Catimor,Washed / Wet,7.67,7.58,7.58,7.58,7.67,7.75,10,10,10,7.75,83.58,0.1,0,1,Green,4,"April 6th, 2017",Yunnan Coffee Exchange,683fa6014608fc10ff681b0435b0b2dbe6df988f,f6d87a6c04653c569d4911a66f89d5e30ce83b93,m,1100,1100,1100
145,Arabica,yunnan coffee exchange,China,China,chen lin,YNC-16056,mojiang jinggong estate speciality development co.ltd mill,,yunnan coffee exchange,1200,yunnan,Mojiang Jinggong Estate Speciality Development Co.Ltd,3,60 kg,Yunnan Coffee Exchange,2015,"April 6th, 2016",Yunnan Coffee Exchange,Catimor,Washed / Wet,7.5,7.67,7.33,7.67,7.67,7.67,10,10,10,7.67,83.17,0.11,0,0,Green,0,"April 6th, 2017",Yunnan Coffee Exchange,683fa6014608fc10ff681b0435b0b2dbe6df988f,f6d87a6c04653c569d4911a66f89d5e30ce83b93,m,1200,1200,1200
146,Arabica,yunnan coffee exchange,China,China,yunnan success trade co.ltd,YNC-16028,yunnan success trade co.ltd mill,,yunnan coffee exchange,1600,dehong prefecture,Yunnan Success Trade Co.Ltd,3,60 kg,Yunnan Coffee Exchange,2015,"April 5th, 2016",Yunnan Coffee Exchange,Catimor,Washed / Wet,7.67,7.67,7.5,7.67,7.42,7.58,10,10,10,7.67,83.17,0.1,0,0,Green,3,"April 5th, 2017",Yunnan Coffee Exchange,683fa6014608fc10ff681b0435b0b2dbe6df988f,f6d87a6c04653c569d4911a66f89d5e30ce83b93,m,1600,1600,1600
147,Arabica,yunnan coffee exchange,China,China,man ganna estate,YNC-16057,"puwen lvyou coffee co.,ltd",,yunnan coffee exchange,1100,yunnan,"Puwen Lvyou Coffee Co.,Ltd",3,60 kg,Yunnan Coffee Exchange,2015,"April 6th, 2016",Yunnan Coffee Exchange,Catimor,Natural / Dry,7.67,7.5,7.33,7.33,7.67,7.67,10,10,10,7.58,82.75,0.1,0,0,Green,0,"April 6th, 2017",Yunnan Coffee Exchange,683fa6014608fc10ff681b0435b0b2dbe6df988f,f6d87a6c04653c569d4911a66f89d5e30ce83b93,m,1100,1100,1100
148,Arabica,yunnan coffee exchange,China,China,pu'er lingdu yunlin coffee co.ltd,YNC-16014,pu'er lingdu yunlin coffee co.ltd mill,5.30E+12,yunnan coffee exchange,1500,menglian,Pu'er Lingdu Yunlin Coffee Co.LTD,3,60 kg,Yunnan Coffee Exchange,2015,"April 5th, 2016",Yunnan Coffee Exchange,Catimor,Washed / Wet,7.5,7.67,7.42,7.67,7.5,7.5,10,10,10,7.5,82.75,0.11,0,0,Green,2,"April 5th, 2017",Yunnan Coffee Exchange,683fa6014608fc10ff681b0435b0b2dbe6df988f,f6d87a6c04653c569d4911a66f89d5e30ce83b93,m,1500,1500,1500
149,Arabica,yunnan coffee exchange,China,China,menglian gao sanlin coffee factory,YNC-16047,menglian gao sanlin coffee factory,,yunnan coffee exchange,1600,yunnan,Menglian Gao Sanlin Coffee Factory,3,60 kg,Yunnan Coffee Exchange,2015,"April 6th, 2016",Yunnan Coffee Exchange,Catimor,Washed / Wet,7.67,7.42,7.42,7.5,7.42,7.42,10,10,10,7.58,82.42,0.1,0,0,Green,0,"April 6th, 2017",Yunnan Coffee Exchange,683fa6014608fc10ff681b0435b0b2dbe6df988f,f6d87a6c04653c569d4911a66f89d5e30ce83b93,m,1600,1600,1600
150,Arabica,yunnan coffee exchange,China,China,yun lan coffee co. ltd,YNC-16053,yun lan coffee co. ltd mill,,yunnan coffee exchange,1580,xishuangbanna prefecture,Yun Lan Coffee Co. Ltd,3,60 kg,Yunnan Coffee Exchange,2015,"April 5th, 2016",Yunnan Coffee Exchange,Catimor,Pulped natural / honey,7.5,7.58,7.42,7.5,7.42,7.42,10,10,10,7.5,82.33,0.12,0,6,Green,2,"April 5th, 2017",Yunnan Coffee Exchange,683fa6014608fc10ff681b0435b0b2dbe6df988f,f6d87a6c04653c569d4911a66f89d5e30ce83b93,m,1580,1580,1580
151,Arabica,eric wu,China,China,"puer jiangcheng fuwang coffee biotechnology co., ltd",,"puer jiangcheng fuwang coffee biotechnology co., ltd",1,"puer jiangcheng fuwang coffee biotechnology co., ltd",above 1100m,yunnan,"PUER JIANGCHENG FUWANG COFFEE BIOTECHNOLOGY CO., LTD",1,2 kg,Specialty Coffee Association,2013,"June 16th, 2014",Eric Wu,Other,Washed / Wet,7.67,8,7.75,7.83,7.75,7.58,10,10,10,7.92,84.5,0,0,0,Green,2,"June 16th, 2015",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1100,1100,1100
152,Arabica,adam ciruli ye,China,China,alicia's farm,,alicia's farm,CNY,yunnan new century tech inc.,1700,yunnan,Alicia's Farm,1,2 kg,Specialty Coffee Association,2013,"January 17th, 2014",Adam Ciruli Ye,Other,Washed / Wet,7.25,7.08,7.25,7.17,7.33,7.17,10,10,10,7.17,80.42,0.17,0,0,Green,14,"January 17th, 2015",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1700,1700,1700
153,Arabica,adam ciruli ye,China,China,alicia's farm,,yunnan louis herbs r&d center,LOUIS88,yunnan louis herbs r& d center,1850,yunnan,Yunnan Louis Herbs R&D Center,1,2 kg,Specialty Coffee Association,2013,"April 26th, 2014",Adam Ciruli Ye,Typica,Washed / Wet,7,6.92,6.83,7.17,7.17,7.17,10,10,9.33,7.08,78.67,0,0,0,Green,5,"April 26th, 2015",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1850,1850,1850
154,Arabica,samuel eli gurel,China,China,hani,,hani,na,greenhouse coffee china,1200 meters,yunnan,GreenHouse Coffee,16,2 kg,Specialty Coffee Association,2013,"September 5th, 2013",Samuel Eli Gurel,Typica,Washed / Wet,7.33,7.17,6.92,7.08,7.33,7,9.33,9.33,9.33,7.17,78,0.1,0,0,Green,28,"September 5th, 2014",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1200,1200,1200
155,Arabica,george a. fernandez,Colombia,1,la canada,,the beneficio is designed to be ecologic,2889,,1800 meters (5900,52 narino (exact location: mattituy; municipal region: florida code 381,Mariana Cabrera Pantoja; I.D.: 27 423 625,1,1 kg,Specialty Coffee Association,,"November 16th, 2011",George A. Fernandez,,,7.33,7.58,7.42,7.42,7.67,7.67,10,10,10,7.58,82.67,0.11,0,0,Green,0,"November 15th, 2012",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1800,5900,3850
156,Arabica,racafe & cia s.c.a,Colombia,1,,,,3-37-2781,,de 1.600 a 1.950 msn,huila,"Grupo Monserrate, La Plata",275,70 kg,AlmacafǸ,,"July 29th, 2011",Racafe & Cia S.C.A,Caturra,,7.33,7.33,7.33,7.58,7.25,8.08,10,10,10,8.17,83.08,0.01,0,0,,0,"July 28th, 2012",AlmacafǸ,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1600,1950,1775
157,Arabica,racafe & cia s.c.a,Colombia,1,,,,3-37-2782,,de 1.600 a 1.950 msn,huila,"Grupo Monserrate, La Plata",150,70 kg,AlmacafǸ,,"July 29th, 2011",Racafe & Cia S.C.A,Caturra,,7.33,7,7.08,7.42,7.5,7.67,10,10,10,8,82,0.07,0,0,,2,"July 28th, 2012",AlmacafǸ,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1600,1950,1775
158,Arabica,racafe & cia s.c.a,Colombia,1,,,,3-37-2930,,de 1600 a 1950 msnm,huila,La Plata,275,70 kg,AlmacafǸ,,"October 4th, 2011",Racafe & Cia S.C.A,,,7.42,7.58,6.92,7.08,7.25,8,10,10,10,7.5,81.75,0.08,0,0,,0,"October 3rd, 2012",AlmacafǸ,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1600,1950,1775
159,Arabica,racafe & cia s.c.a,Colombia,1,,,,3-37-2759,,1050 - 1850 msnm,cauca,,250,70 kg,AlmacafǸ,,"July 19th, 2011",Racafe & Cia S.C.A,,,7.5,7.75,7.33,7.75,7.08,7.83,10,10,10,7.67,82.92,0.15,0,0,,0,"July 18th, 2012",AlmacafǸ,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1050,1850,1450
160,Arabica,racafe & cia s.c.a,Colombia,1,,,popayǭn,Mar-37,,1050 - 1850 msnm,cauca,,300,70 kg,AlmacafǸ,,"May 12th, 2011",Racafe & Cia S.C.A,,,7.33,7.67,7.58,7.33,7.58,7.92,10,10,10,7.58,83,0.08,0,0,,1,"May 11th, 2012",AlmacafǸ,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1050,1850,1450
161,Arabica,racafe & cia s.c.a,Colombia,1,,,,3-37-2759,,1050 - 1850,cauca,,250,70 kg,AlmacafǸ,,"September 7th, 2011",Racafe & Cia S.C.A,,,7.42,7.42,7.17,7.42,7.42,7.33,10,10,10,7.33,81.5,0.06,1,0,,0,"September 6th, 2012",AlmacafǸ,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1050,1850,1450
162,Arabica,exportadora de cafe condor s.a,Colombia,1,,,trilladora bonanza - armenia quindioa,3-68-0130,,1880 msnm,cauca,,250,70 kg,AlmacafǸ,,"February 22nd, 2011",Exportadora de Cafe Condor S.A,,,7.75,7.33,7.42,7,7.33,7.25,10,10,10,7.33,81.42,0.16,0,0,,2,"February 22nd, 2012",AlmacafǸ,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1880,1880,1880
163,Arabica,exportadora de cafe condor s.a,Colombia,1,,,trilladora boananza,3-68-0140,,1800 msnm,huila,varios,250,70 kg,AlmacafǸ,,"February 1st, 2011",Exportadora de Cafe Condor S.A,,,7.5,7.58,7.67,7.67,7.58,7.58,10,10,10,7.42,83,0.06,0,0,,2,"February 1st, 2012",AlmacafǸ,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1800,1800,1800
164,Arabica,exportadora de cafe condor s.a,Colombia,1,,,trilladora bonanza - armenia quindioa,3-68-0107,,1880 msnm,cauca,,250,70 kg,AlmacafǸ,,"February 22nd, 2011",Exportadora de Cafe Condor S.A,,,8,7.67,7.67,7.25,7.67,7.5,10,10,10,7.5,83.25,0.13,0,0,,1,"February 22nd, 2012",AlmacafǸ,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1880,1880,1880
165,Arabica,exportadora de cafe condor s.a,Colombia,1,,,trilladora bonanza - armenia quindio,3-068-0108,,1800 m.s.n.m,cundinamarca,Exportadora de CafǸ C��ndor S.A,250,70 kg,AlmacafǸ,,"January 17th, 2011",Exportadora de Cafe Condor S.A,,,7.92,7.75,7.5,7.42,7.42,7.67,10,10,10,7.58,83.25,0.04,0,0,,1,"January 17th, 2012",AlmacafǸ,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1800,1800,1800
166,Arabica,exportadora de cafe condor s.a,Colombia,1,,,trilladora bonanza - armenia quindio,3-068-141,,1600 m.s.n.m,cundinamarca,Exportadora de CafǸ C��ndor S.A,250,70 kg,AlmacafǸ,,"February 1st, 2011",Exportadora de Cafe Condor S.A,,,7.67,7.33,7.33,7.58,7.33,7.33,10,10,10,7.33,81.92,0.09,0,0,,1,"February 1st, 2012",AlmacafǸ,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1600,1600,1600
167,Arabica,exportadora de cafe condor s.a,Colombia,1,,,trilladora bonanza - armenia quindio,3-068-0123,,1800 m.s.n.m,huila,Exportadora de CafǸ C��ndor S.A,250,70 kg,AlmacafǸ,,"January 25th, 2011",Exportadora de Cafe Condor S.A,,,7.33,7.33,7,6.83,7.33,7.67,10,10,10,7.33,80.83,0.01,0,0,,1,"January 25th, 2012",AlmacafǸ,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1800,1800,1800
168,Arabica,exportadora de cafe condor s.a,Colombia,1,,,trilladora boananza,3-68-0124,,1600 msnm,cundinamarca,,250,70 kg,AlmacafǸ,,"February 9th, 2011",Exportadora de Cafe Condor S.A,,,7.75,7.67,7.25,7.25,7.58,8.5,10,10,10,7.75,83.75,0.06,0,0,,1,"February 9th, 2012",AlmacafǸ,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1600,1600,1600
169,Arabica,exportadora de cafe condor s.a,Colombia,1,,,trilladora bonanza - armenia quindioa,3-68-0152,,1800 msnm,huila,,250,70 kg,AlmacafǸ,,"February 9th, 2011",Exportadora de Cafe Condor S.A,,,8.08,7.67,7.67,7.33,7.33,7.17,10,10,10,7.42,82.67,0.08,0,0,,3,"February 9th, 2012",AlmacafǸ,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1800,1800,1800
170,Arabica,exportadora de cafe condor s.a,Colombia,1,,,trilladora bonanza - armenia quindioa,3-68-0154,,1800 msnm,huila,,250,70 kg,AlmacafǸ,,"February 9th, 2011",Exportadora de Cafe Condor S.A,,,7.58,7.67,7.42,7.17,7.17,7.75,10,10,10,7.42,82.17,0.08,0,0,,0,"February 9th, 2012",AlmacafǸ,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1800,1800,1800
171,Arabica,exportadora de cafe condor s.a,Colombia,1,,,trilladora bonanza - armenia quindioa,3-68-0153,,1800 msnm,huila,,250,70 kg,AlmacafǸ,,"February 9th, 2011",Exportadora de Cafe Condor S.A,,,7.25,7.17,7,6.75,7.17,7.33,10,10,10,6.92,79.58,0.1,0,0,,4,"February 9th, 2012",AlmacafǸ,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1800,1800,1800
172,Arabica,exportadora de cafe condor s.a,Colombia,1,,,trilladora bonanza - armenia quindioa,3-68-0129,,1880 msnm,cauca,,250,70 kg,AlmacafǸ,,"February 22nd, 2011",Exportadora de Cafe Condor S.A,,,7.83,7.75,7.33,7.25,7.42,7.92,10,10,10,7.58,83.08,0.08,1,0,,3,"February 22nd, 2012",AlmacafǸ,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1880,1880,1880
173,Arabica,exportadora de cafe condor s.a,Colombia,1,,,trilladora bonanza - armenia quindioa,3-68-0262,,1750 m.s.n.m,huila,,0,70 kg,AlmacafǸ,,"September 22nd, 2011",Exportadora de Cafe Condor S.A,,,7.58,7.25,7.42,7.25,7.58,7.83,10,10,10,7.5,82.42,0.02,0,0,,1,"September 21st, 2012",AlmacafǸ,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1750,1750,1750
174,Arabica,carcafe ltda ci,Colombia,1,,3-59-0503,neiva,3-59-0503,carcafe ltda,442,huila,FRANKLIN DUSSAN / HIPOLITO TORRES,275,70 kg,AlmacafǸ,,"November 9th, 2017",CARCAFE LTDA CI,Caturra,Washed / Wet,7.83,7.5,7.42,7.5,7.83,8.5,10,10,10,7.5,84.08,0,1,3,Green,3,"November 9th, 2018",AlmacafǸ,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,442,442,442
175,Arabica,carcafe ltda ci,Colombia,1,,3-59-0504,neiva,3-59-0504,carcafe ltda,439,huila,FRANKLIN DUSSAN / HIPOLITO TORRES,300,29 kg,AlmacafǸ,,"November 9th, 2017",CARCAFE LTDA CI,Caturra,Washed / Wet,7.5,7.58,7.58,7.5,7.75,7.83,10,10,10,7.67,83.42,0,0,2,Green,1,"November 9th, 2018",AlmacafǸ,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,439,439,439
176,Arabica,federacion nacional de cafeteros,Colombia,1,,,cauca,Jan-08,federacion nacional de cafeteros,1800,cauca,,275,2 kg,AlmacafǸ,,"June 5th, 2015",Federacion Nacional de Cafeteros,Other,Washed / Wet,8.08,7.67,7.83,7.83,7.67,7.67,10,10,10,7.75,84.5,0.12,1,0,Green,0,"June 4th, 2016",AlmacafǸ,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1800,1800,1800
